




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
purine ribonucleotide catabolic process (GO:0009154)	90	3	1.50	+	2.00	1.90E-01	1.00E00
purine nucleoside diphosphate catabolic process (GO:0009137)	60	2	1.00	+	2.00	2.64E-01	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	60	2	1.00	+	2.00	2.64E-01	1.00E00
positive regulation of peptidyl-threonine phosphorylation (GO:0010800)	30	1	.50	+	2.00	3.96E-01	1.00E00
lung development (GO:0030324)	240	8	4.00	+	2.00	6.60E-02	8.11E-01
viral process (GO:0016032)	150	5	2.50	+	2.00	1.06E-01	1.00E00
chondroitin sulfate metabolic process (GO:0030204)	30	1	.50	+	2.00	3.96E-01	1.00E00
endochondral bone growth (GO:0003416)	30	1	.50	+	2.00	3.96E-01	1.00E00
ceramide biosynthetic process (GO:0046513)	60	2	1.00	+	2.00	2.64E-01	1.00E00
positive regulation of Wnt signaling pathway (GO:0030177)	150	5	2.50	+	2.00	1.06E-01	1.00E00
positive regulation of lamellipodium assembly (GO:0010592)	30	1	.50	+	2.00	3.96E-01	1.00E00
axo-dendritic transport (GO:0008088)	90	3	1.50	+	2.00	1.90E-01	1.00E00
regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315)	30	1	.50	+	2.00	3.96E-01	1.00E00
myoblast fusion (GO:0007520)	30	1	.50	+	2.00	3.96E-01	1.00E00
prostate gland morphogenesis (GO:0060512)	30	1	.50	+	2.00	3.96E-01	1.00E00
positive regulation of secretion (GO:0051047)	450	15	7.50	+	2.00	1.32E-02	4.15E-01
monoatomic ion transport (GO:0006811)	961	32	16.02	+	2.00	2.35E-04	2.55E-02
regulation of transmembrane transport (GO:0034762)	511	17	8.52	+	2.00	7.35E-03	2.94E-01
regulation of developmental growth (GO:0048638)	392	13	6.53	+	1.99	1.62E-02	4.76E-01
regulation of nervous system development (GO:0051960)	573	19	9.55	+	1.99	4.33E-03	2.11E-01
positive regulation of tumor necrosis factor production (GO:0032760)	121	4	2.02	+	1.98	1.44E-01	1.00E00
regulation of anatomical structure morphogenesis (GO:0022603)	940	31	15.67	+	1.98	3.42E-04	3.45E-02
positive regulation of vasculature development (GO:1904018)	182	6	3.03	+	1.98	1.31E-01	1.00E00
respiratory tube development (GO:0030323)	243	8	4.05	+	1.97	6.81E-02	8.31E-01
skin epidermis development (GO:0098773)	152	5	2.53	+	1.97	1.11E-01	1.00E00
T cell differentiation (GO:0030217)	213	7	3.55	+	1.97	9.40E-02	9.73E-01
respiratory system development (GO:0060541)	274	9	4.57	+	1.97	5.07E-02	7.26E-01
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	61	2	1.02	+	1.97	2.70E-01	1.00E00
somatic diversification of immune receptors (GO:0002200)	61	2	1.02	+	1.97	2.70E-01	1.00E00
positive regulation of DNA-templated transcription, elongation (GO:0032786)	61	2	1.02	+	1.97	2.70E-01	1.00E00
positive regulation of interleukin-8 production (GO:0032757)	61	2	1.02	+	1.97	2.70E-01	1.00E00
regulation of endocrine process (GO:0044060)	61	2	1.02	+	1.97	2.70E-01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	61	2	1.02	+	1.97	2.70E-01	1.00E00
regulation of mRNA splicing, via spliceosome (GO:0048024)	122	4	2.03	+	1.97	1.47E-01	1.00E00
regulation of cytokine production involved in inflammatory response (GO:1900015)	61	2	1.02	+	1.97	2.70E-01	1.00E00
labyrinthine layer development (GO:0060711)	61	2	1.02	+	1.97	2.70E-01	1.00E00
insulin secretion (GO:0030073)	61	2	1.02	+	1.97	2.70E-01	1.00E00
biological process involved in symbiotic interaction (GO:0044403)	214	7	3.57	+	1.96	9.49E-02	9.78E-01
ameboidal-type cell migration (GO:0001667)	153	5	2.55	+	1.96	1.13E-01	1.00E00
metanephros development (GO:0001656)	92	3	1.53	+	1.96	1.98E-01	1.00E00
positive regulation of cell division (GO:0051781)	92	3	1.53	+	1.96	1.98E-01	1.00E00
positive regulation of synaptic transmission (GO:0050806)	184	6	3.07	+	1.96	1.33E-01	1.00E00
regulation of blood circulation (GO:1903522)	276	9	4.60	+	1.96	5.20E-02	7.37E-01
T cell activation (GO:0042110)	399	13	6.65	+	1.95	2.61E-02	5.60E-01
pallium development (GO:0021543)	215	7	3.58	+	1.95	9.58E-02	9.85E-01
cellular response to insulin stimulus (GO:0032869)	215	7	3.58	+	1.95	9.58E-02	9.85E-01
positive regulation of protein localization (GO:1903829)	553	18	9.22	+	1.95	6.49E-03	2.79E-01
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	123	4	2.05	+	1.95	1.50E-01	1.00E00
head development (GO:0060322)	831	27	13.85	+	1.95	1.21E-03	8.67E-02
glycoprotein biosynthetic process (GO:0009101)	277	9	4.62	+	1.95	5.27E-02	7.42E-01
locomotory behavior (GO:0007626)	277	9	4.62	+	1.95	5.27E-02	7.41E-01
brain development (GO:0007420)	771	25	12.85	+	1.95	1.46E-03	9.87E-02
protein glycosylation (GO:0006486)	216	7	3.60	+	1.94	9.67E-02	9.46E-01
macromolecule glycosylation (GO:0043413)	216	7	3.60	+	1.94	9.67E-02	9.46E-01
negative regulation of cell-cell adhesion (GO:0022408)	216	7	3.60	+	1.94	9.67E-02	9.45E-01
zinc ion transport (GO:0006829)	31	1	.52	+	1.94	4.06E-01	1.00E00
positive regulation of glial cell proliferation (GO:0060252)	31	1	.52	+	1.94	4.06E-01	1.00E00
tumor necrosis factor superfamily cytokine production (GO:0071706)	31	1	.52	+	1.94	4.06E-01	1.00E00
bone resorption (GO:0045453)	31	1	.52	+	1.94	4.06E-01	1.00E00
regulation of monocyte chemotactic protein-1 production (GO:0071637)	31	1	.52	+	1.94	4.06E-01	1.00E00
regulation of the force of heart contraction (GO:0002026)	31	1	.52	+	1.94	4.06E-01	1.00E00
positive regulation of purine nucleotide catabolic process (GO:0033123)	31	1	.52	+	1.94	4.06E-01	1.00E00
tumor necrosis factor production (GO:0032640)	31	1	.52	+	1.94	4.06E-01	1.00E00
cellular response to interleukin-4 (GO:0071353)	31	1	.52	+	1.94	4.06E-01	1.00E00
organophosphate biosynthetic process (GO:0090407)	527	17	8.78	+	1.94	8.94E-03	3.39E-01
intestinal absorption (GO:0050892)	31	1	.52	+	1.94	4.06E-01	1.00E00
negative regulation of behavior (GO:0048521)	31	1	.52	+	1.94	4.06E-01	1.00E00
protein sumoylation (GO:0016925)	31	1	.52	+	1.94	4.06E-01	1.00E00
regulation of vascular endothelial cell proliferation (GO:1905562)	31	1	.52	+	1.94	4.06E-01	1.00E00
release of sequestered calcium ion into cytosol (GO:0051209)	62	2	1.03	+	1.94	2.77E-01	1.00E00
import into nucleus (GO:0051170)	124	4	2.07	+	1.94	1.53E-01	1.00E00
centriole assembly (GO:0098534)	31	1	.52	+	1.94	4.06E-01	1.00E00
response to platelet-derived growth factor (GO:0036119)	31	1	.52	+	1.94	4.06E-01	1.00E00
positive regulation of nucleotide catabolic process (GO:0030813)	31	1	.52	+	1.94	4.06E-01	1.00E00
regulation of cyclase activity (GO:0031279)	31	1	.52	+	1.94	4.06E-01	1.00E00
response to acetylcholine (GO:1905144)	62	2	1.03	+	1.94	2.77E-01	1.00E00
negative regulation of cardiac muscle tissue growth (GO:0055022)	31	1	.52	+	1.94	4.06E-01	1.00E00
regulation of Rac protein signal transduction (GO:0035020)	31	1	.52	+	1.94	4.06E-01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	31	1	.52	+	1.94	4.06E-01	1.00E00
proteoglycan biosynthetic process (GO:0030166)	62	2	1.03	+	1.94	2.77E-01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	31	1	.52	+	1.94	4.06E-01	1.00E00
negative regulation of heart growth (GO:0061117)	31	1	.52	+	1.94	4.06E-01	1.00E00
phototransduction (GO:0007602)	31	1	.52	+	1.94	4.06E-01	1.00E00
cerebral cortex neuron differentiation (GO:0021895)	31	1	.52	+	1.94	4.06E-01	1.00E00
positive regulation of glycolytic process (GO:0045821)	31	1	.52	+	1.94	4.06E-01	1.00E00
regulation of miRNA metabolic process (GO:2000628)	93	3	1.55	+	1.94	2.03E-01	1.00E00
nephron development (GO:0072006)	155	5	2.58	+	1.94	1.18E-01	1.00E00
regulation of mitochondrial membrane potential (GO:0051881)	93	3	1.55	+	1.94	2.03E-01	1.00E00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	186	6	3.10	+	1.94	1.35E-01	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	372	12	6.20	+	1.94	3.64E-02	6.41E-01
positive regulation of peptidase activity (GO:0010952)	155	5	2.58	+	1.94	1.18E-01	1.00E00
vasculature development (GO:0001944)	621	20	10.35	+	1.93	5.83E-03	2.60E-01
central nervous system development (GO:0007417)	1025	33	17.09	+	1.93	3.71E-04	3.62E-02
synapse assembly (GO:0007416)	125	4	2.08	+	1.92	1.56E-01	1.00E00
regulation of neural precursor cell proliferation (GO:2000177)	125	4	2.08	+	1.92	1.56E-01	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	219	7	3.65	+	1.92	9.96E-02	9.64E-01
regulation of calcium ion transmembrane transport (GO:1903169)	188	6	3.13	+	1.91	1.37E-01	1.00E00
response to heat (GO:0009408)	94	3	1.57	+	1.91	2.07E-01	1.00E00
lipid homeostasis (GO:0055088)	188	6	3.13	+	1.91	1.37E-01	1.00E00
negative regulation of phosphorus metabolic process (GO:0010563)	376	12	6.27	+	1.91	3.74E-02	6.56E-01
negative regulation of phosphate metabolic process (GO:0045936)	376	12	6.27	+	1.91	3.74E-02	6.55E-01
response to hormone (GO:0009725)	910	29	15.17	+	1.91	8.28E-04	6.94E-02
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	157	5	2.62	+	1.91	1.93E-01	1.00E00
regulation of lipid transport (GO:0032368)	157	5	2.62	+	1.91	1.93E-01	1.00E00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	157	5	2.62	+	1.91	1.93E-01	1.00E00
circulatory system process (GO:0003013)	503	16	8.38	+	1.91	1.26E-02	4.04E-01
regulation of signaling (GO:0023051)	3648	116	60.81	+	1.91	8.54E-13	1.32E-08
eye morphogenesis (GO:0048592)	189	6	3.15	+	1.90	1.38E-01	1.00E00
hindbrain morphogenesis (GO:0021575)	63	2	1.05	+	1.90	2.83E-01	1.00E00
eye photoreceptor cell differentiation (GO:0001754)	63	2	1.05	+	1.90	2.83E-01	1.00E00
positive regulation of organic acid transport (GO:0032892)	63	2	1.05	+	1.90	2.83E-01	1.00E00
negative regulation of sequestering of calcium ion (GO:0051283)	63	2	1.05	+	1.90	2.83E-01	1.00E00
negative regulation of cell-substrate adhesion (GO:0010812)	63	2	1.05	+	1.90	2.83E-01	1.00E00
alpha-beta T cell activation (GO:0046631)	126	4	2.10	+	1.90	1.59E-01	1.00E00
platelet activation (GO:0030168)	63	2	1.05	+	1.90	2.83E-01	1.00E00
regulation of protein targeting (GO:1903533)	63	2	1.05	+	1.90	2.83E-01	1.00E00
cardiac septum development (GO:0003279)	126	4	2.10	+	1.90	1.59E-01	1.00E00
positive regulation of hydrolase activity (GO:0051345)	347	11	5.78	+	1.90	5.14E-02	7.30E-01
response to organic cyclic compound (GO:0014070)	978	31	16.30	+	1.90	7.31E-04	6.29E-02
regulation of ketone metabolic process (GO:0010565)	158	5	2.63	+	1.90	1.95E-01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	95	3	1.58	+	1.89	2.11E-01	1.00E00
vesicle localization (GO:0051648)	190	6	3.17	+	1.89	1.40E-01	1.00E00
positive regulation of lipid localization (GO:1905954)	127	4	2.12	+	1.89	1.63E-01	1.00E00
regulation of cell communication (GO:0010646)	3652	115	60.88	+	1.89	2.57E-12	1.98E-08
membrane lipid metabolic process (GO:0006643)	191	6	3.18	+	1.88	1.41E-01	1.00E00
regulation of postsynapse organization (GO:0099175)	191	6	3.18	+	1.88	1.41E-01	1.00E00
response to peptide hormone (GO:0043434)	478	15	7.97	+	1.88	1.76E-02	4.44E-01
glial cell differentiation (GO:0010001)	255	8	4.25	+	1.88	7.81E-02	9.23E-01
negative regulation of developmental process (GO:0051093)	1022	32	17.04	+	1.88	6.26E-04	5.48E-02
leukocyte activation (GO:0045321)	703	22	11.72	+	1.88	6.12E-03	2.71E-01
regulation of localization (GO:0032879)	2302	72	38.37	+	1.88	1.57E-07	7.78E-05
signal transduction by p53 class mediator (GO:0072331)	96	3	1.60	+	1.87	2.16E-01	1.00E00
regulation of cation channel activity (GO:2001257)	96	3	1.60	+	1.87	2.16E-01	1.00E00
positive regulation of extracellular matrix organization (GO:1903055)	32	1	.53	+	1.87	4.16E-01	1.00E00
cell differentiation in hindbrain (GO:0021533)	32	1	.53	+	1.87	4.16E-01	1.00E00
myeloid dendritic cell activation (GO:0001773)	32	1	.53	+	1.87	4.16E-01	1.00E00
mitotic spindle organization (GO:0007052)	96	3	1.60	+	1.87	2.16E-01	1.00E00
Sertoli cell differentiation (GO:0060008)	32	1	.53	+	1.87	4.16E-01	1.00E00
cellular response to leukemia inhibitory factor (GO:1990830)	128	4	2.13	+	1.87	1.66E-01	1.00E00
response to hypoxia (GO:0001666)	320	10	5.33	+	1.87	4.74E-02	7.69E-01
chondrocyte development (GO:0002063)	32	1	.53	+	1.87	4.16E-01	1.00E00
chondrocyte differentiation (GO:0002062)	96	3	1.60	+	1.87	2.16E-01	1.00E00
intermediate filament-based process (GO:0045103)	96	3	1.60	+	1.87	2.16E-01	1.00E00
epiboly involved in wound healing (GO:0090505)	32	1	.53	+	1.87	4.16E-01	1.00E00
regulation of interleukin-12 production (GO:0032655)	64	2	1.07	+	1.87	2.89E-01	1.00E00
regulation of biological process involved in symbiotic interaction (GO:0043903)	64	2	1.07	+	1.87	2.89E-01	1.00E00
positive regulation of calcium ion import (GO:0090280)	32	1	.53	+	1.87	4.16E-01	1.00E00
wound healing, spreading of cells (GO:0044319)	32	1	.53	+	1.87	4.16E-01	1.00E00
positive regulation of lipid catabolic process (GO:0050996)	32	1	.53	+	1.87	4.16E-01	1.00E00
negative regulation of lipid catabolic process (GO:0050995)	32	1	.53	+	1.87	4.16E-01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	64	2	1.07	+	1.87	2.89E-01	1.00E00
response to glucocorticoid (GO:0051384)	160	5	2.67	+	1.87	1.97E-01	1.00E00
modulation of excitatory postsynaptic potential (GO:0098815)	64	2	1.07	+	1.87	2.89E-01	1.00E00
post-embryonic development (GO:0009791)	128	4	2.13	+	1.87	1.66E-01	1.00E00
negative regulation of ERBB signaling pathway (GO:1901185)	32	1	.53	+	1.87	4.16E-01	1.00E00
presynapse organization (GO:0099172)	32	1	.53	+	1.87	4.16E-01	1.00E00
positive regulation of long-term synaptic potentiation (GO:1900273)	32	1	.53	+	1.87	4.16E-01	1.00E00
phospholipid transport (GO:0015914)	96	3	1.60	+	1.87	2.16E-01	1.00E00
regulation of hair cycle (GO:0042634)	32	1	.53	+	1.87	4.16E-01	1.00E00
ribonucleoside diphosphate catabolic process (GO:0009191)	64	2	1.07	+	1.87	2.89E-01	1.00E00
negative regulation of small molecule metabolic process (GO:0062014)	128	4	2.13	+	1.87	1.66E-01	1.00E00
positive regulation of insulin receptor signaling pathway (GO:0046628)	32	1	.53	+	1.87	4.16E-01	1.00E00
actin filament polymerization (GO:0030041)	32	1	.53	+	1.87	4.16E-01	1.00E00
regulation of cell maturation (GO:1903429)	32	1	.53	+	1.87	4.16E-01	1.00E00
ureteric bud morphogenesis (GO:0060675)	64	2	1.07	+	1.87	2.89E-01	1.00E00
regulation of animal organ formation (GO:0003156)	32	1	.53	+	1.87	4.16E-01	1.00E00
regulation of biological quality (GO:0065008)	3216	100	53.61	+	1.87	2.08E-10	3.57E-07
regulation of response to external stimulus (GO:0032101)	1158	36	19.30	+	1.86	3.36E-04	3.41E-02
regulation of lipid metabolic process (GO:0019216)	386	12	6.43	+	1.86	4.03E-02	6.88E-01
intrinsic apoptotic signaling pathway (GO:0097193)	193	6	3.22	+	1.86	1.43E-01	1.00E00
plasma membrane organization (GO:0007009)	161	5	2.68	+	1.86	1.98E-01	1.00E00
positive regulation of chemotaxis (GO:0050921)	161	5	2.68	+	1.86	1.98E-01	1.00E00
digestive system development (GO:0055123)	161	5	2.68	+	1.86	1.98E-01	1.00E00
cell activation (GO:0001775)	806	25	13.44	+	1.86	2.89E-03	1.60E-01
regulation of type II interferon production (GO:0032649)	129	4	2.15	+	1.86	1.69E-01	1.00E00
endoplasmic reticulum organization (GO:0007029)	97	3	1.62	+	1.86	2.20E-01	1.00E00
regulation of Notch signaling pathway (GO:0008593)	97	3	1.62	+	1.86	2.20E-01	1.00E00
tube morphogenesis (GO:0035239)	776	24	12.94	+	1.86	3.79E-03	1.95E-01
positive regulation of cation transmembrane transport (GO:1904064)	162	5	2.70	+	1.85	2.00E-01	1.00E00
intracellular signal transduction (GO:0035556)	1719	53	28.66	+	1.85	1.26E-05	2.31E-03
positive regulation of response to biotic stimulus (GO:0002833)	357	11	5.95	+	1.85	5.48E-02	7.66E-01
import into cell (GO:0098657)	682	21	11.37	+	1.85	8.62E-03	3.32E-01
localization within membrane (GO:0051668)	585	18	9.75	+	1.85	1.27E-02	4.03E-01
positive regulation of protein localization to plasma membrane (GO:1903078)	65	2	1.08	+	1.85	2.95E-01	1.00E00
mesonephric tubule morphogenesis (GO:0072171)	65	2	1.08	+	1.85	2.95E-01	1.00E00
response to leukemia inhibitory factor (GO:1990823)	130	4	2.17	+	1.85	1.72E-01	1.00E00
organic hydroxy compound catabolic process (GO:1901616)	65	2	1.08	+	1.85	2.95E-01	1.00E00
peptidyl-amino acid modification (GO:0018193)	455	14	7.58	+	1.85	2.51E-02	5.53E-01
zymogen activation (GO:0031638)	65	2	1.08	+	1.85	2.95E-01	1.00E00
cholesterol metabolic process (GO:0008203)	130	4	2.17	+	1.85	1.72E-01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	65	2	1.08	+	1.85	2.95E-01	1.00E00
response to type II interferon (GO:0034341)	130	4	2.17	+	1.85	1.72E-01	1.00E00
regulation of T cell differentiation (GO:0045580)	195	6	3.25	+	1.85	1.46E-01	1.00E00
regulation of lipid localization (GO:1905952)	196	6	3.27	+	1.84	1.47E-01	1.00E00
regulation of stress fiber assembly (GO:0051492)	98	3	1.63	+	1.84	2.24E-01	1.00E00
response to interleukin-1 (GO:0070555)	98	3	1.63	+	1.84	2.24E-01	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	196	6	3.27	+	1.84	1.47E-01	1.00E00
inflammatory response (GO:0006954)	588	18	9.80	+	1.84	1.31E-02	4.13E-01
regulation of lymphocyte differentiation (GO:0045619)	229	7	3.82	+	1.83	1.11E-01	1.00E00
cellular response to oxygen levels (GO:0071453)	164	5	2.73	+	1.83	2.03E-01	1.00E00
cell motility (GO:0048870)	1247	38	20.79	+	1.83	3.48E-04	3.48E-02
actin filament-based process (GO:0030029)	591	18	9.85	+	1.83	1.35E-02	4.18E-01
intracellular calcium ion homeostasis (GO:0006874)	230	7	3.83	+	1.83	1.12E-01	1.00E00
negative regulation of cell differentiation (GO:0045596)	723	22	12.05	+	1.83	6.99E-03	2.93E-01
negative regulation of phosphorylation (GO:0042326)	329	10	5.48	+	1.82	7.54E-02	8.98E-01
positive regulation of cilium assembly (GO:0045724)	33	1	.55	+	1.82	4.26E-01	1.00E00
GPI anchored protein biosynthesis (GO:0180046)	33	1	.55	+	1.82	4.26E-01	1.00E00
metanephric nephron development (GO:0072210)	33	1	.55	+	1.82	4.26E-01	1.00E00
cell redox homeostasis (GO:0045454)	33	1	.55	+	1.82	4.26E-01	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	33	1	.55	+	1.82	4.26E-01	1.00E00
nuclear migration (GO:0007097)	33	1	.55	+	1.82	4.26E-01	1.00E00
retina development in camera-type eye (GO:0060041)	198	6	3.30	+	1.82	1.50E-01	1.00E00
GPI anchor biosynthetic process (GO:0006506)	33	1	.55	+	1.82	4.26E-01	1.00E00
GPI anchor metabolic process (GO:0006505)	33	1	.55	+	1.82	4.26E-01	1.00E00
mRNA export from nucleus (GO:0006406)	66	2	1.10	+	1.82	3.01E-01	1.00E00
maintenance of protein location (GO:0045185)	99	3	1.65	+	1.82	2.29E-01	1.00E00
epiboly (GO:0090504)	33	1	.55	+	1.82	4.26E-01	1.00E00
regulation of interleukin-4 production (GO:0032673)	33	1	.55	+	1.82	4.26E-01	1.00E00
positive regulation of protein targeting to membrane (GO:0090314)	33	1	.55	+	1.82	4.26E-01	1.00E00
regulation of protein deacetylation (GO:0090311)	33	1	.55	+	1.82	4.26E-01	1.00E00
negative regulation of stress fiber assembly (GO:0051497)	33	1	.55	+	1.82	4.26E-01	1.00E00
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	33	1	.55	+	1.82	4.26E-01	1.00E00
lymph node development (GO:0048535)	33	1	.55	+	1.82	4.26E-01	1.00E00
protein homotetramerization (GO:0051289)	66	2	1.10	+	1.82	3.01E-01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	33	1	.55	+	1.82	4.26E-01	1.00E00
aorta morphogenesis (GO:0035909)	33	1	.55	+	1.82	4.26E-01	1.00E00
positive regulation of epithelial cell differentiation (GO:0030858)	66	2	1.10	+	1.82	3.01E-01	1.00E00
regulation of circadian sleep/wake cycle (GO:0042749)	33	1	.55	+	1.82	4.26E-01	1.00E00
regulation of synaptic vesicle endocytosis (GO:1900242)	33	1	.55	+	1.82	4.26E-01	1.00E00
ribonucleotide catabolic process (GO:0009261)	99	3	1.65	+	1.82	2.29E-01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	66	2	1.10	+	1.82	3.01E-01	1.00E00
cell communication involved in cardiac conduction (GO:0086065)	33	1	.55	+	1.82	4.26E-01	1.00E00
positive regulation of cell growth (GO:0030307)	198	6	3.30	+	1.82	1.50E-01	1.00E00
hyaluronan metabolic process (GO:0030212)	33	1	.55	+	1.82	4.26E-01	1.00E00
B cell differentiation (GO:0030183)	132	4	2.20	+	1.82	2.87E-01	1.00E00
amino acid transmembrane transport (GO:0003333)	99	3	1.65	+	1.82	2.29E-01	1.00E00
response to fluid shear stress (GO:0034405)	33	1	.55	+	1.82	4.26E-01	1.00E00
regulation of immune response to tumor cell (GO:0002837)	33	1	.55	+	1.82	4.26E-01	1.00E00
regulation of morphogenesis of a branching structure (GO:0060688)	66	2	1.10	+	1.82	3.01E-01	1.00E00
