




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
ATP-dependent H3-H4 histone complex chaperone activity (GO:0140665)	142	13	9.18	+	1.42	2.26E-01	1.00E00
chromatin extrusion motor activity (GO:0140584)	142	13	9.18	+	1.42	2.26E-01	1.00E00
H3-H4 histone complex chaperone activity (GO:0000510)	142	13	9.18	+	1.42	2.26E-01	1.00E00
ATP-dependent H2AZ histone chaperone activity (GO:0140849)	142	13	9.18	+	1.42	2.26E-01	1.00E00
xenobiotic transmembrane transporter activity (GO:0042910)	33	3	2.13	+	1.41	4.70E-01	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	66	6	4.26	+	1.41	3.20E-01	1.00E00
ATP-dependent histone chaperone activity (GO:0140674)	143	13	9.24	+	1.41	2.28E-01	1.00E00
glycolipid binding (GO:0051861)	33	3	2.13	+	1.41	4.70E-01	1.00E00
DNA translocase activity (GO:0015616)	143	13	9.24	+	1.41	2.28E-01	1.00E00
lipoprotein particle receptor binding (GO:0070325)	33	3	2.13	+	1.41	4.70E-01	1.00E00
nuclear androgen receptor binding (GO:0050681)	33	3	2.13	+	1.41	4.70E-01	1.00E00
protein-folding chaperone binding (GO:0051087)	165	15	10.66	+	1.41	2.00E-01	1.00E00
nuclear retinoic acid receptor binding (GO:0042974)	33	3	2.13	+	1.41	4.70E-01	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	11	1	.71	+	1.41	5.20E-01	1.00E00
nuclear export signal receptor activity (GO:0005049)	11	1	.71	+	1.41	5.20E-01	1.00E00
arachidonate-CoA ligase activity (GO:0047676)	11	1	.71	+	1.41	5.20E-01	1.00E00
pyrimidine nucleotide binding (GO:0019103)	11	1	.71	+	1.41	5.20E-01	1.00E00
opsonin binding (GO:0001846)	22	2	1.42	+	1.41	6.50E-01	1.00E00
O-acetyltransferase activity (GO:0016413)	11	1	.71	+	1.41	5.20E-01	1.00E00
C-acyltransferase activity (GO:0016408)	22	2	1.42	+	1.41	6.50E-01	1.00E00
RNA polymerase core enzyme binding (GO:0043175)	44	4	2.84	+	1.41	5.30E-01	1.00E00
CD4 receptor binding (GO:0042609)	11	1	.71	+	1.41	5.20E-01	1.00E00
ATP-dependent protein binding (GO:0043008)	11	1	.71	+	1.41	5.20E-01	1.00E00
nuclear retinoid X receptor binding (GO:0046965)	22	2	1.42	+	1.41	6.50E-01	1.00E00
lysozyme activity (GO:0003796)	11	1	.71	+	1.41	5.20E-01	1.00E00
benzodiazepine receptor activity (GO:0008503)	11	1	.71	+	1.41	5.20E-01	1.00E00
G protein-coupled purinergic nucleotide receptor activity (GO:0045028)	11	1	.71	+	1.41	5.20E-01	1.00E00
carbonyl reductase (NADPH) activity (GO:0004090)	11	1	.71	+	1.41	5.20E-01	1.00E00
siRNA binding (GO:0035197)	11	1	.71	+	1.41	5.20E-01	1.00E00
structural constituent of myelin sheath (GO:0019911)	11	1	.71	+	1.41	5.20E-01	1.00E00
xylosyltransferase activity (GO:0042285)	11	1	.71	+	1.41	5.20E-01	1.00E00
mismatch repair complex binding (GO:0032404)	11	1	.71	+	1.41	5.20E-01	1.00E00
high voltage-gated calcium channel activity (GO:0008331)	11	1	.71	+	1.41	5.20E-01	1.00E00
phosphatidylinositol trisphosphate phosphatase activity (GO:0034594)	11	1	.71	+	1.41	5.20E-01	1.00E00
ubiquitin ligase activator activity (GO:1990757)	11	1	.71	+	1.41	5.20E-01	1.00E00
structural constituent of postsynaptic density (GO:0098919)	11	1	.71	+	1.41	5.20E-01	1.00E00
serotonin binding (GO:0051378)	11	1	.71	+	1.41	5.20E-01	1.00E00
water channel activity (GO:0015250)	11	1	.71	+	1.41	5.20E-01	1.00E00
co-SMAD binding (GO:0070410)	11	1	.71	+	1.41	5.20E-01	1.00E00
GABA receptor activity (GO:0016917)	22	2	1.42	+	1.41	6.50E-01	1.00E00
prostaglandin receptor activity (GO:0004955)	11	1	.71	+	1.41	5.20E-01	1.00E00
high-density lipoprotein particle binding (GO:0008035)	11	1	.71	+	1.41	5.20E-01	1.00E00
P-type calcium transporter activity (GO:0005388)	11	1	.71	+	1.41	5.20E-01	1.00E00
nucleoside transmembrane transporter activity (GO:0005337)	11	1	.71	+	1.41	5.20E-01	1.00E00
clathrin heavy chain binding (GO:0032050)	11	1	.71	+	1.41	5.20E-01	1.00E00
inositol phosphate kinase activity (GO:0180030)	11	1	.71	+	1.41	5.20E-01	1.00E00
histone ubiquitin ligase activity (GO:0140852)	11	1	.71	+	1.41	5.20E-01	1.00E00
amine transmembrane transporter activity (GO:0005275)	11	1	.71	+	1.41	5.20E-01	1.00E00
voltage-gated calcium channel activity (GO:0005245)	44	4	2.84	+	1.41	5.30E-01	1.00E00
volume-sensitive anion channel activity (GO:0005225)	11	1	.71	+	1.41	5.20E-01	1.00E00
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	44	4	2.84	+	1.41	5.30E-01	1.00E00
mismatched DNA binding (GO:0030983)	11	1	.71	+	1.41	5.20E-01	1.00E00
protein binding (GO:0005515)	9660	877	624.21	+	1.40	2.48E-44	1.27E-40
isomerase activity (GO:0016853)	188	17	12.15	+	1.40	1.77E-01	1.00E00
cohesin loader activity (GO:0061775)	144	13	9.31	+	1.40	2.30E-01	1.00E00
endonuclease activity (GO:0004519)	122	11	7.88	+	1.40	2.63E-01	1.00E00
enzyme inhibitor activity (GO:0004857)	433	39	27.98	+	1.39	3.73E-02	6.52E-01
cargo receptor activity (GO:0038024)	67	6	4.33	+	1.39	4.48E-01	1.00E00
adenyl nucleotide binding (GO:0030554)	1586	142	102.48	+	1.39	6.60E-05	9.92E-03
molecular function inhibitor activity (GO:0140678)	570	51	36.83	+	1.38	1.93E-02	4.53E-01
enzyme binding (GO:0019899)	2360	211	152.50	+	1.38	6.46E-07	1.83E-04
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	683	61	44.13	+	1.38	1.11E-02	3.17E-01
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	56	5	3.62	+	1.38	4.10E-01	1.00E00
protein kinase A binding (GO:0051018)	56	5	3.62	+	1.38	4.10E-01	1.00E00
carboxylic acid binding (GO:0031406)	202	18	13.05	+	1.38	1.51E-01	1.00E00
catalytic activity, acting on DNA (GO:0140097)	315	28	20.35	+	1.38	8.28E-02	8.25E-01
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)	135	12	8.72	+	1.38	2.88E-01	1.00E00
monocarboxylic acid transmembrane transporter activity (GO:0008028)	79	7	5.10	+	1.37	3.56E-01	1.00E00
protein serine kinase activity (GO:0106310)	362	32	23.39	+	1.37	6.68E-02	7.16E-01
histone methyltransferase activity (GO:0042054)	68	6	4.39	+	1.37	4.51E-01	1.00E00
molecular function regulator activity (GO:0098772)	2224	196	143.71	+	1.36	5.04E-06	1.03E-03
protein kinase regulator activity (GO:0019887)	250	22	16.15	+	1.36	1.52E-01	1.00E00
protein kinase activity (GO:0004672)	580	51	37.48	+	1.36	2.56E-02	5.04E-01
O-acyltransferase activity (GO:0008374)	57	5	3.68	+	1.36	4.17E-01	1.00E00
anion binding (GO:0043168)	2403	210	155.28	+	1.35	3.68E-06	8.55E-04
adenyl ribonucleotide binding (GO:0032559)	1481	129	95.70	+	1.35	4.48E-04	3.52E-02
transmembrane transporter activity (GO:0022857)	1103	96	71.27	+	1.35	3.05E-03	1.36E-01
histone H3Y41 kinase activity (GO:0035401)	115	10	7.43	+	1.35	3.37E-01	1.00E00
histone H2AXY142 kinase activity (GO:0140801)	115	10	7.43	+	1.35	3.37E-01	1.00E00
deacylase activity (GO:0160215)	69	6	4.46	+	1.35	4.55E-01	1.00E00
tau protein binding (GO:0048156)	23	2	1.49	+	1.35	6.58E-01	1.00E00
ATPase-coupled ion transmembrane transporter activity (GO:0042625)	23	2	1.49	+	1.35	6.58E-01	1.00E00
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	23	2	1.49	+	1.35	6.58E-01	1.00E00
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	23	2	1.49	+	1.35	6.58E-01	1.00E00
chloride:monoatomic cation symporter activity (GO:0015377)	23	2	1.49	+	1.35	6.58E-01	1.00E00
nuclear localization sequence binding (GO:0008139)	23	2	1.49	+	1.35	6.58E-01	1.00E00
cholesterol transfer activity (GO:0120020)	23	2	1.49	+	1.35	6.58E-01	1.00E00
coreceptor activity (GO:0015026)	46	4	2.97	+	1.35	5.39E-01	1.00E00
enzyme regulator activity (GO:0030234)	1303	113	84.20	+	1.34	1.35E-03	7.53E-02
carbohydrate derivative binding (GO:0097367)	2216	192	143.19	+	1.34	1.77E-05	3.12E-03
hydrolase activity, acting on ester bonds (GO:0016788)	762	66	49.24	+	1.34	1.61E-02	4.03E-01
ATP binding (GO:0005524)	1433	124	92.60	+	1.34	8.27E-04	5.16E-02
damaged DNA binding (GO:0003684)	81	7	5.23	+	1.34	3.67E-01	1.00E00
lipid binding (GO:0008289)	926	80	59.84	+	1.34	7.63E-03	2.42E-01
enzyme activator activity (GO:0008047)	579	50	37.41	+	1.34	3.91E-02	6.62E-01
purine nucleotide binding (GO:0017076)	1925	166	124.39	+	1.33	9.97E-05	1.34E-02
phosphatase regulator activity (GO:0019208)	116	10	7.50	+	1.33	3.40E-01	1.00E00
peptidase activator activity (GO:0016504)	58	5	3.75	+	1.33	4.24E-01	1.00E00
ATPase-coupled monoatomic cation transmembrane transporter activity (GO:0019829)	58	5	3.75	+	1.33	4.24E-01	1.00E00
transferase activity, transferring phosphorus-containing groups (GO:0016772)	894	77	57.77	+	1.33	1.00E-02	2.92E-01
lipase activity (GO:0016298)	128	11	8.27	+	1.33	3.63E-01	1.00E00
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	70	6	4.52	+	1.33	4.59E-01	1.00E00
ubiquitin-protein transferase regulator activity (GO:0055106)	35	3	2.26	+	1.33	4.92E-01	1.00E00
disordered domain specific binding (GO:0097718)	35	3	2.26	+	1.33	4.92E-01	1.00E00
protein phosphatase regulator activity (GO:0019888)	105	9	6.78	+	1.33	3.24E-01	1.00E00
transporter activity (GO:0005215)	1203	103	77.74	+	1.33	3.09E-03	1.32E-01
protein homodimerization activity (GO:0042803)	820	70	52.99	+	1.32	1.67E-02	4.15E-01
molecular condensate scaffold activity (GO:0140693)	47	4	3.04	+	1.32	5.45E-01	1.00E00
ribonucleotide binding (GO:0032553)	1837	156	118.70	+	1.31	3.49E-04	3.03E-02
transcription coactivator activity (GO:0003713)	272	23	17.58	+	1.31	1.72E-01	1.00E00
heterocyclic compound binding (GO:1901363)	2250	190	145.39	+	1.31	9.59E-05	1.33E-02
nucleoside phosphate binding (GO:1901265)	2108	178	136.21	+	1.31	1.87E-04	2.12E-02
DNA-binding transcription repressor activity (GO:0001217)	308	26	19.90	+	1.31	1.60E-01	1.00E00
nucleotide binding (GO:0000166)	2085	176	134.73	+	1.31	2.09E-04	2.27E-02
transcription factor binding (GO:0008134)	700	59	45.23	+	1.30	3.48E-02	6.42E-01
histone binding (GO:0042393)	285	24	18.42	+	1.30	1.81E-01	1.00E00
purine ribonucleotide binding (GO:0032555)	1819	153	117.54	+	1.30	6.89E-04	4.63E-02
purine ribonucleoside triphosphate binding (GO:0035639)	1762	148	113.86	+	1.30	8.37E-04	5.15E-02
protein serine/threonine kinase activity (GO:0004674)	442	37	28.56	+	1.30	1.17E-01	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	24	2	1.55	+	1.29	6.66E-01	1.00E00
dynein light chain binding (GO:0045503)	12	1	.78	+	1.29	5.51E-01	1.00E00
AP-2 adaptor complex binding (GO:0035612)	12	1	.78	+	1.29	5.51E-01	1.00E00
nucleoside binding (GO:0001882)	12	1	.78	+	1.29	5.51E-01	1.00E00
myristoyltransferase activity (GO:0019107)	12	1	.78	+	1.29	5.51E-01	1.00E00
protein-glutamine N-methyltransferase activity (GO:0036009)	12	1	.78	+	1.29	5.51E-01	1.00E00
phosphotyrosine residue binding (GO:0001784)	48	4	3.10	+	1.29	5.51E-01	1.00E00
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	12	1	.78	+	1.29	5.51E-01	1.00E00
UDP-glucosyltransferase activity (GO:0035251)	12	1	.78	+	1.29	5.51E-01	1.00E00
organophosphate ester transmembrane transporter activity (GO:0015605)	48	4	3.10	+	1.29	5.51E-01	1.00E00
phosphorylation-dependent protein binding (GO:0140031)	12	1	.78	+	1.29	5.51E-01	1.00E00
ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)	24	2	1.55	+	1.29	6.66E-01	1.00E00
phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018)	12	1	.78	+	1.29	5.51E-01	1.00E00
5'-nucleotidase activity (GO:0008253)	12	1	.78	+	1.29	5.51E-01	1.00E00
death domain binding (GO:0070513)	12	1	.78	+	1.29	5.51E-01	1.00E00
sodium-independent organic anion transmembrane transporter activity (GO:0015347)	24	2	1.55	+	1.29	6.66E-01	1.00E00
store-operated calcium channel activity (GO:0015279)	12	1	.78	+	1.29	5.51E-01	1.00E00
purine nucleotide transmembrane transporter activity (GO:0015216)	24	2	1.55	+	1.29	6.66E-01	1.00E00
polyamine transmembrane transporter activity (GO:0015203)	12	1	.78	+	1.29	5.51E-01	1.00E00
phosphoserine residue binding (GO:0050815)	12	1	.78	+	1.29	5.51E-01	1.00E00
prostanoid receptor activity (GO:0004954)	12	1	.78	+	1.29	5.51E-01	1.00E00
phosphatidic acid binding (GO:0070300)	24	2	1.55	+	1.29	6.66E-01	1.00E00
sterol transfer activity (GO:0120015)	24	2	1.55	+	1.29	6.66E-01	1.00E00
peptidyl-proline dioxygenase activity (GO:0031543)	12	1	.78	+	1.29	5.51E-01	1.00E00
voltage-gated chloride channel activity (GO:0005247)	12	1	.78	+	1.29	5.51E-01	1.00E00
titin binding (GO:0031432)	12	1	.78	+	1.29	5.51E-01	1.00E00
fibronectin binding (GO:0001968)	36	3	2.33	+	1.29	5.04E-01	1.00E00
gamma-tubulin binding (GO:0043015)	36	3	2.33	+	1.29	5.04E-01	1.00E00
signaling receptor binding (GO:0005102)	1673	139	108.11	+	1.29	1.88E-03	9.44E-02
ATPase-coupled transmembrane transporter activity (GO:0042626)	109	9	7.04	+	1.28	4.31E-01	1.00E00
guanyl-nucleotide exchange factor activity (GO:0005085)	206	17	13.31	+	1.28	3.16E-01	1.00E00
cytokine receptor activity (GO:0004896)	97	8	6.27	+	1.28	4.10E-01	1.00E00
small molecule binding (GO:0036094)	5720	471	369.62	+	1.27	6.34E-10	3.24E-07
protein kinase C binding (GO:0005080)	61	5	3.94	+	1.27	5.96E-01	1.00E00
Hsp70 protein binding (GO:0030544)	61	5	3.94	+	1.27	5.96E-01	1.00E00
organic cyclic compound binding (GO:0097159)	5508	449	355.92	+	1.26	9.00E-09	4.18E-06
ion binding (GO:0043167)	5505	448	355.72	+	1.26	1.09E-08	4.64E-06
protein-macromolecule adaptor activity (GO:0030674)	1144	93	73.92	+	1.26	2.21E-02	4.84E-01
translation initiation factor binding (GO:0031369)	37	3	2.39	+	1.25	7.31E-01	1.00E00
ubiquitin conjugating enzyme binding (GO:0031624)	37	3	2.39	+	1.25	7.31E-01	1.00E00
phospholipase activity (GO:0004620)	99	8	6.40	+	1.25	5.35E-01	1.00E00
sulfur compound transmembrane transporter activity (GO:1901682)	62	5	4.01	+	1.25	5.99E-01	1.00E00
transforming growth factor beta binding (GO:0050431)	25	2	1.62	+	1.24	6.75E-01	1.00E00
D-glucose transmembrane transporter activity (GO:0055056)	25	2	1.62	+	1.24	6.75E-01	1.00E00
cAMP binding (GO:0030552)	25	2	1.62	+	1.24	6.75E-01	1.00E00
clathrin binding (GO:0030276)	50	4	3.23	+	1.24	5.64E-01	1.00E00
LRR domain binding (GO:0030275)	25	2	1.62	+	1.24	6.75E-01	1.00E00
G-protein beta/gamma-subunit complex binding (GO:0031683)	25	2	1.62	+	1.24	6.75E-01	1.00E00
hexose transmembrane transporter activity (GO:0015149)	25	2	1.62	+	1.24	6.75E-01	1.00E00
alkali metal ion binding (GO:0031420)	25	2	1.62	+	1.24	6.75E-01	1.00E00
kinase regulator activity (GO:0019207)	288	23	18.61	+	1.24	2.77E-01	1.00E00
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	301	24	19.45	+	1.23	2.87E-01	1.00E00
molecular function activator activity (GO:0140677)	1173	93	75.80	+	1.23	3.79E-02	6.57E-01
histone modifying activity (GO:0140993)	656	52	42.39	+	1.23	1.25E-01	9.38E-01
microfilament motor activity (GO:0000146)	38	3	2.46	+	1.22	7.35E-01	1.00E00
cyclic nucleotide binding (GO:0030551)	38	3	2.46	+	1.22	7.35E-01	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016893)	38	3	2.46	+	1.22	7.35E-01	1.00E00
binding (GO:0005488)	14255	1123	921.13	+	1.22	7.51E-34	1.28E-30
nucleic acid binding (GO:0003676)	3398	267	219.57	+	1.22	4.70E-04	3.58E-02
nuclear estrogen receptor binding (GO:0030331)	51	4	3.30	+	1.21	5.70E-01	1.00E00
hydrolase activity (GO:0016787)	2412	189	155.86	+	1.21	4.30E-03	1.68E-01
protein phosphorylated amino acid binding (GO:0045309)	64	5	4.14	+	1.21	6.07E-01	1.00E00
antiporter activity (GO:0015297)	128	10	8.27	+	1.21	4.72E-01	1.00E00
NAD binding (GO:0051287)	64	5	4.14	+	1.21	6.07E-01	1.00E00
signaling receptor regulator activity (GO:0030545)	615	48	39.74	+	1.21	1.82E-01	1.00E00
cation binding (GO:0043169)	3857	301	249.23	+	1.21	2.63E-04	2.54E-02
small GTPase binding (GO:0031267)	295	23	19.06	+	1.21	3.39E-01	1.00E00
metal ion binding (GO:0046872)	3748	292	242.19	+	1.21	3.93E-04	3.24E-02
chloride transmembrane transporter activity (GO:0015108)	129	10	8.34	+	1.20	4.75E-01	1.00E00
signaling receptor activator activity (GO:0030546)	569	44	36.77	+	1.20	2.25E-01	1.00E00
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	39	3	2.52	+	1.19	7.39E-01	1.00E00
ubiquitin conjugating enzyme activity (GO:0061631)	39	3	2.52	+	1.19	7.39E-01	1.00E00
aldo-keto reductase (NADPH) activity (GO:0004033)	39	3	2.52	+	1.19	7.39E-01	1.00E00
metal cation:monoatomic cation antiporter activity (GO:0140828)	39	3	2.52	+	1.19	7.39E-01	1.00E00
CoA-ligase activity (GO:0016405)	26	2	1.68	+	1.19	6.84E-01	1.00E00
monoatomic cation:bicarbonate symporter activity (GO:0140410)	13	1	.84	+	1.19	5.80E-01	1.00E00
NAD+ nucleosidase activity (GO:0003953)	13	1	.84	+	1.19	5.80E-01	1.00E00
retinyl-palmitate esterase activity (GO:0050253)	13	1	.84	+	1.19	5.80E-01	1.00E00
aminoacyl-tRNA editing activity (GO:0002161)	13	1	.84	+	1.19	5.80E-01	1.00E00
ribosome binding (GO:0043022)	117	9	7.56	+	1.19	5.69E-01	1.00E00
acetylcholine receptor regulator activity (GO:0030548)	26	2	1.68	+	1.19	6.84E-01	1.00E00
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	13	1	.84	+	1.19	5.80E-01	1.00E00
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	13	1	.84	+	1.19	5.80E-01	1.00E00
electron transfer activity (GO:0009055)	52	4	3.36	+	1.19	5.78E-01	1.00E00
primary active transmembrane transporter activity (GO:0015399)	143	11	9.24	+	1.19	4.95E-01	1.00E00
potassium:proton antiporter activity (GO:0015386)	13	1	.84	+	1.19	5.80E-01	1.00E00
monoatomic anion:monoatomic cation symporter activity (GO:0015296)	26	2	1.68	+	1.19	6.84E-01	1.00E00
RNA polymerase II general transcription initiation factor binding (GO:0001091)	26	2	1.68	+	1.19	6.84E-01	1.00E00
G protein-coupled serotonin receptor activity (GO:0004993)	13	1	.84	+	1.19	5.80E-01	1.00E00
dopamine receptor binding (GO:0050780)	26	2	1.68	+	1.19	6.84E-01	1.00E00
nucleotide-sugar transmembrane transporter activity (GO:0005338)	13	1	.84	+	1.19	5.80E-01	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	26	2	1.68	+	1.19	6.84E-01	1.00E00
transferase activity, transferring one-carbon groups (GO:0016741)	208	16	13.44	+	1.19	4.77E-01	1.00E00
protein-containing complex destabilizing activity (GO:0140776)	13	1	.84	+	1.19	5.80E-01	1.00E00
MAP kinase kinase activity (GO:0004708)	13	1	.84	+	1.19	5.80E-01	1.00E00
RNA 7-methylguanosine cap binding (GO:0000340)	13	1	.84	+	1.19	5.80E-01	1.00E00
vinculin binding (GO:0017166)	13	1	.84	+	1.19	5.80E-01	1.00E00
sodium ion binding (GO:0031402)	13	1	.84	+	1.19	5.80E-01	1.00E00
catecholamine binding (GO:1901338)	13	1	.84	+	1.19	5.80E-01	1.00E00
oxidoreductase activity (GO:0016491)	769	59	49.69	+	1.19	1.78E-01	1.00E00
receptor ligand activity (GO:0048018)	561	43	36.25	+	1.19	2.57E-01	1.00E00
molecular adaptor activity (GO:0060090)	1312	100	84.78	+	1.18	8.21E-02	8.20E-01
zinc ion binding (GO:0008270)	736	56	47.56	+	1.18	1.95E-01	1.00E00
N-methyltransferase activity (GO:0008170)	92	7	5.94	+	1.18	6.68E-01	1.00E00
catalytic activity (GO:0003824)	5592	425	361.34	+	1.18	7.97E-05	1.16E-02
inorganic anion transmembrane transporter activity (GO:0015103)	158	12	10.21	+	1.18	5.16E-01	1.00E00
metallopeptidase activity (GO:0008237)	198	15	12.79	+	1.17	4.69E-01	1.00E00
DNA binding (GO:0003677)	2302	173	148.75	+	1.16	3.14E-02	5.91E-01
GTPase binding (GO:0051020)	334	25	21.58	+	1.16	4.32E-01	1.00E00
GTP binding (GO:0005525)	362	27	23.39	+	1.15	4.49E-01	1.00E00
protein methyltransferase activity (GO:0008276)	94	7	6.07	+	1.15	6.72E-01	1.00E00
deaminase activity (GO:0019239)	27	2	1.74	+	1.15	6.93E-01	1.00E00
beta-2-microglobulin binding (GO:0030881)	27	2	1.74	+	1.15	6.93E-01	1.00E00
neurotransmitter receptor regulator activity (GO:0099602)	27	2	1.74	+	1.15	6.93E-01	1.00E00
R-SMAD binding (GO:0070412)	27	2	1.74	+	1.15	6.93E-01	1.00E00
nucleotide transmembrane transporter activity (GO:0015215)	27	2	1.74	+	1.15	6.93E-01	1.00E00
monosaccharide transmembrane transporter activity (GO:0015145)	27	2	1.74	+	1.15	6.93E-01	1.00E00
sequence-specific DNA binding (GO:0043565)	1572	116	101.58	+	1.14	1.36E-01	9.73E-01
cis-regulatory region sequence-specific DNA binding (GO:0000987)	1141	84	73.73	+	1.14	2.16E-01	1.00E00
wide pore channel activity (GO:0022829)	41	3	2.65	+	1.13	7.47E-01	1.00E00
MHC class I protein binding (GO:0042288)	41	3	2.65	+	1.13	7.47E-01	1.00E00
solute:sodium symporter activity (GO:0015370)	82	6	5.30	+	1.13	6.54E-01	1.00E00
catalytic activity, acting on a protein (GO:0140096)	2462	180	159.09	+	1.13	7.42E-02	7.59E-01
sequence-specific double-stranded DNA binding (GO:1990837)	1469	107	94.92	+	1.13	1.87E-01	1.00E00
endopeptidase regulator activity (GO:0061135)	220	16	14.22	+	1.13	5.81E-01	1.00E00
transferase activity (GO:0016740)	2244	163	145.00	+	1.12	1.03E-01	9.74E-01
growth factor receptor binding (GO:0070851)	152	11	9.82	+	1.12	6.21E-01	1.00E00
guanyl nucleotide binding (GO:0019001)	387	28	25.01	+	1.12	5.31E-01	1.00E00
guanyl ribonucleotide binding (GO:0032561)	387	28	25.01	+	1.12	5.31E-01	1.00E00
organic anion transmembrane transporter activity (GO:0008514)	277	20	17.90	+	1.12	6.22E-01	1.00E00
